carrier,origin
VX,JFK
DL,JFK
DL,JFK
DL,JFK
9E,LGA
AA,LGA
WN,EWR
B6,JFK
AA,LGA
EV,EWR
B6,JFK
B6,LGA
EV,EWR
FL,LGA
B6,JFK
EV,EWR
EV,EWR
DL,JFK
UA,EWR
VX,JFK
EV,LGA
B6,LGA
UA,EWR
B6,JFK
US,LGA
MQ,LGA
US,JFK
EV,EWR
DL,JFK
MQ,LGA
WN,LGA
AA,LGA
AA,JFK
MQ,EWR
UA,LGA
B6,JFK
DL,LGA
AA,LGA
9E,JFK
UA,JFK
MQ,JFK
EV,EWR
WN,LGA
B6,JFK
AA,LGA
B6,JFK
UA,EWR
DL,JFK
B6,JFK
MQ,LGA
DL,LGA
UA,EWR
UA,EWR
B6,JFK
MQ,JFK
AA,LGA
MQ,EWR
AA,LGA
US,EWR
EV,EWR
MQ,LGA
UA,EWR
B6,JFK
B6,JFK
UA,EWR
B6,JFK
MQ,LGA
MQ,LGA
US,LGA
UA,LGA
AA,LGA
US,LGA
EV,EWR
EV,EWR
9E,LGA
MQ,JFK
AA,JFK
DL,LGA
B6,EWR
B6,EWR
EV,EWR
EV,EWR
9E,EWR
B6,JFK
UA,EWR
AA,JFK
B6,JFK
AA,LGA
EV,EWR
EV,EWR
9E,EWR
UA,EWR
AA,LGA
US,JFK
EV,EWR
EV,EWR
AA,JFK
WN,LGA
B6,JFK
WN,LGA
DL,JFK
UA,EWR
AA,EWR
UA,EWR
AA,LGA
AA,LGA
B6,JFK
AA,EWR
9E,LGA
UA,EWR
EV,EWR
FL,LGA
B6,EWR
MQ,JFK
AA,JFK
UA,EWR
B6,JFK
UA,EWR
EV,EWR
MQ,EWR
WN,EWR
UA,EWR
B6,JFK
EV,EWR
DL,LGA
MQ,JFK
UA,EWR
AA,LGA
EV,EWR
UA,EWR
UA,EWR
MQ,LGA
WN,LGA
DL,LGA
9E,JFK
DL,JFK
B6,JFK
EV,LGA
B6,JFK
AA,LGA
UA,EWR
WN,LGA
UA,EWR
DL,LGA
9E,JFK
MQ,JFK
EV,EWR
UA,JFK
B6,LGA
DL,JFK
AA,JFK
B6,JFK
EV,EWR
9E,JFK
B6,JFK
EV,EWR
9E,JFK
UA,JFK
AA,JFK
UA,LGA
B6,JFK
MQ,LGA
US,LGA
DL,JFK
DL,LGA
DL,JFK
UA,EWR
AA,JFK
EV,EWR
EV,EWR
MQ,LGA
DL,JFK
MQ,LGA
DL,LGA
UA,EWR
B6,JFK
B6,JFK
UA,EWR
DL,JFK
DL,LGA
DL,JFK
UA,EWR
UA,EWR
DL,LGA
EV,EWR
AA,JFK
B6,JFK
UA,LGA
UA,EWR
EV,EWR
UA,EWR
WN,EWR
UA,EWR
MQ,LGA
B6,JFK
MQ,JFK
AA,JFK
UA,JFK
UA,EWR
UA,LGA
B6,EWR
B6,JFK
EV,EWR
EV,EWR
US,LGA
9E,JFK
B6,JFK
UA,EWR
EV,EWR
UA,JFK
DL,LGA
UA,EWR
UA,LGA
EV,EWR
MQ,LGA
AA,JFK
B6,JFK
VX,JFK
UA,EWR
9E,JFK
WN,EWR
AA,LGA
B6,JFK
AA,JFK
DL,JFK
B6,LGA
DL,LGA
US,EWR
DL,LGA
MQ,JFK
MQ,LGA
US,LGA
EV,EWR
MQ,JFK
US,LGA
EV,EWR
EV,EWR
B6,JFK
EV,EWR
FL,LGA
UA,EWR
US,LGA
AA,LGA
WN,LGA
VX,JFK
DL,JFK
MQ,EWR
MQ,EWR
US,LGA
UA,EWR
UA,LGA
DL,LGA
EV,EWR
B6,JFK
US,JFK
UA,JFK
AA,EWR
9E,JFK
US,LGA
DL,LGA
MQ,EWR
UA,EWR
WN,LGA
UA,EWR
EV,EWR
DL,LGA
UA,EWR
EV,EWR
B6,JFK
B6,JFK
DL,JFK
EV,EWR
B6,JFK
UA,EWR
UA,EWR
DL,JFK
UA,EWR
EV,LGA
EV,EWR
EV,EWR
UA,EWR
UA,EWR
DL,LGA
MQ,LGA
B6,LGA
DL,LGA
EV,EWR
DL,LGA
B6,LGA
UA,JFK
MQ,JFK
B6,JFK
DL,LGA
MQ,JFK
VX,EWR
EV,EWR
B6,EWR
EV,EWR
UA,EWR
UA,JFK
UA,LGA
DL,EWR
UA,EWR
MQ,LGA
MQ,LGA
AA,JFK
EV,EWR
WN,LGA
EV,EWR
UA,JFK
B6,JFK
UA,EWR
WN,LGA
DL,EWR
UA,EWR
EV,EWR
EV,EWR
AA,LGA
UA,EWR
B6,JFK
B6,EWR
AA,LGA
MQ,JFK
UA,EWR
EV,EWR
DL,JFK
EV,EWR
AA,JFK
DL,JFK
EV,EWR
AA,EWR
B6,JFK
F9,LGA
US,JFK
B6,JFK
B6,JFK
B6,EWR
9E,JFK
B6,JFK
DL,JFK
UA,EWR
AA,JFK
UA,EWR
DL,LGA
UA,EWR
WN,LGA
DL,JFK
DL,LGA
VX,JFK
DL,JFK
US,LGA
UA,EWR
DL,JFK
UA,EWR
UA,EWR
WN,EWR
FL,LGA
DL,JFK
MQ,LGA
UA,EWR
UA,JFK
MQ,LGA
WN,EWR
AA,LGA
MQ,LGA
AA,JFK
UA,EWR
US,LGA
MQ,LGA
UA,EWR
UA,EWR
EV,EWR
9E,LGA
AA,JFK
UA,EWR
EV,EWR
B6,JFK
UA,EWR
WN,EWR
DL,JFK
EV,JFK
EV,EWR
EV,EWR
DL,JFK
MQ,JFK
UA,EWR
AA,LGA
EV,EWR
EV,LGA
WN,LGA
DL,JFK
WN,LGA
DL,JFK
UA,EWR
UA,EWR
B6,JFK
US,LGA
9E,JFK
DL,JFK
EV,LGA
UA,EWR
EV,EWR
MQ,LGA
DL,LGA
UA,JFK
WN,EWR
EV,LGA
B6,LGA
MQ,JFK
EV,LGA
US,LGA
VX,JFK
EV,EWR
DL,JFK
US,JFK
DL,JFK
UA,EWR
EV,EWR
UA,EWR
VX,JFK
EV,EWR
UA,EWR
B6,JFK
AA,JFK
B6,JFK
AA,JFK
MQ,LGA
US,LGA
AA,JFK
DL,JFK
MQ,LGA
DL,EWR
B6,JFK
EV,JFK
B6,JFK
US,EWR
US,LGA
AA,LGA
UA,EWR
EV,EWR
AA,LGA
9E,JFK
DL,JFK
DL,JFK
UA,EWR
B6,EWR
UA,LGA
AA,EWR
US,LGA
YV,LGA
B6,JFK
DL,JFK
MQ,JFK
AA,LGA
US,LGA
DL,JFK
AA,LGA
AA,JFK
DL,JFK
EV,LGA
B6,JFK
WN,EWR
B6,JFK
EV,LGA
UA,EWR
US,LGA
US,LGA
MQ,LGA
EV,EWR
UA,JFK
9E,JFK
AA,LGA
B6,JFK
DL,JFK
B6,JFK
9E,LGA
DL,LGA
AA,LGA
VX,EWR
B6,JFK
WN,EWR
US,LGA
DL,JFK
B6,JFK
MQ,JFK
UA,EWR
EV,EWR
MQ,LGA
DL,JFK
US,LGA
AA,LGA
UA,LGA
UA,EWR
B6,EWR
EV,EWR
US,LGA
US,EWR
US,LGA
US,LGA
AA,JFK
EV,EWR
EV,EWR
DL,LGA
EV,EWR
EV,EWR
B6,JFK
DL,LGA
MQ,JFK
MQ,LGA
DL,JFK
B6,EWR
AA,JFK
B6,JFK
UA,EWR
EV,EWR
UA,EWR
B6,JFK
B6,JFK
DL,LGA
UA,EWR
B6,JFK
AA,JFK
UA,LGA
B6,JFK
EV,EWR
WN,LGA
DL,JFK
UA,EWR
UA,EWR
VX,JFK
UA,EWR
B6,JFK
WN,LGA
9E,JFK
EV,EWR
DL,JFK
9E,JFK
DL,LGA
B6,JFK
B6,JFK
B6,JFK
UA,EWR
UA,EWR
US,EWR
AA,LGA
B6,JFK
UA,EWR
MQ,JFK
EV,LGA
WN,EWR
B6,JFK
UA,JFK
UA,EWR
VX,JFK
AA,LGA
AA,LGA
MQ,LGA
AA,EWR
AA,JFK
EV,EWR
UA,EWR
US,EWR
UA,EWR
US,EWR
US,LGA
US,LGA
DL,LGA
9E,LGA
UA,EWR
AA,LGA
B6,EWR
UA,EWR
MQ,LGA
EV,EWR
AA,LGA
MQ,EWR
MQ,JFK
WN,LGA
EV,EWR
DL,JFK
B6,JFK
WN,LGA
DL,JFK
VX,EWR
EV,EWR
AA,LGA
US,JFK
DL,JFK
F9,LGA
EV,LGA
B6,JFK
9E,JFK
B6,JFK
DL,JFK
WN,LGA
AA,LGA
AA,EWR
B6,EWR
WN,LGA
DL,JFK
FL,LGA
B6,JFK
AA,LGA
B6,JFK
MQ,LGA
US,LGA
DL,JFK
EV,LGA
EV,EWR
EV,EWR
EV,EWR
EV,EWR
UA,EWR
WN,LGA
AA,JFK
DL,LGA
EV,EWR
B6,JFK
US,JFK
B6,JFK
9E,JFK
UA,JFK
UA,EWR
UA,LGA
MQ,EWR
DL,LGA
AA,JFK
B6,JFK
B6,JFK
WN,LGA
UA,EWR
MQ,JFK
UA,EWR
MQ,LGA
MQ,LGA
UA,EWR
MQ,LGA
UA,JFK
UA,EWR
EV,EWR
UA,EWR
B6,EWR
WN,LGA
DL,EWR
DL,JFK
DL,JFK
AA,LGA
B6,LGA
UA,JFK
VX,EWR
9E,JFK
EV,EWR
US,JFK
DL,EWR
B6,JFK
US,JFK
UA,EWR
EV,LGA
B6,JFK
EV,LGA
US,LGA
EV,EWR
EV,EWR
DL,LGA
UA,EWR
EV,EWR
MQ,JFK
B6,LGA
B6,JFK
9E,JFK
MQ,EWR
B6,JFK
US,LGA
B6,JFK
DL,EWR
AA,LGA
UA,EWR
UA,EWR
UA,EWR
9E,JFK
EV,EWR
9E,JFK
9E,JFK
UA,EWR
EV,LGA
9E,JFK
B6,JFK
UA,LGA
UA,EWR
DL,LGA
B6,JFK
B6,JFK
EV,LGA
US,LGA
US,LGA
US,LGA
EV,EWR
US,LGA
DL,LGA
B6,JFK
UA,EWR
9E,JFK
AA,LGA
UA,EWR
UA,EWR
AA,LGA
B6,JFK
AA,JFK
EV,EWR
9E,LGA
B6,JFK
UA,EWR
DL,JFK
DL,LGA
DL,JFK
DL,LGA
DL,JFK
B6,JFK
UA,EWR
B6,EWR
UA,LGA
AA,JFK
UA,LGA
DL,LGA
B6,EWR
UA,EWR
WN,EWR
WN,EWR
B6,JFK
DL,JFK
US,LGA
DL,JFK
DL,LGA
MQ,LGA
B6,JFK
EV,EWR
UA,EWR
AA,LGA
DL,LGA
UA,EWR
UA,EWR
VX,JFK
UA,EWR
EV,EWR
EV,LGA
AA,EWR
B6,JFK
FL,LGA
UA,EWR
UA,EWR
9E,LGA
B6,JFK
DL,LGA
EV,EWR
AA,JFK
WN,LGA
US,JFK
DL,LGA
B6,JFK
US,LGA
US,LGA
US,EWR
EV,EWR
B6,JFK
EV,LGA
DL,LGA
UA,EWR
UA,EWR
EV,EWR
9E,JFK
WN,EWR
DL,JFK
DL,EWR
AA,LGA
EV,EWR
AA,LGA
B6,EWR
9E,JFK
DL,LGA
DL,JFK
FL,LGA
DL,LGA
AA,JFK
VX,JFK
AA,EWR
UA,EWR
UA,EWR
MQ,JFK
AA,EWR
DL,LGA
AA,JFK
EV,LGA
9E,JFK
9E,JFK
EV,LGA
DL,LGA
EV,LGA
B6,JFK
WN,LGA
B6,JFK
B6,JFK
AA,LGA
EV,EWR
UA,EWR
B6,EWR
US,LGA
DL,JFK
DL,LGA
B6,LGA
EV,EWR
EV,EWR
B6,EWR
UA,EWR
UA,JFK
UA,EWR
WN,LGA
UA,EWR
AA,LGA
UA,JFK
UA,EWR
DL,LGA
DL,JFK
MQ,JFK
B6,EWR
AA,JFK
UA,JFK
DL,LGA
9E,JFK
DL,LGA
EV,LGA
DL,LGA
US,LGA
B6,JFK
EV,LGA
AA,JFK
UA,JFK
9E,JFK
EV,EWR
EV,EWR
MQ,EWR
MQ,LGA
UA,EWR
UA,EWR
9E,EWR
9E,JFK
B6,JFK
US,EWR
DL,JFK
FL,LGA
AA,LGA
US,LGA
VX,EWR
DL,LGA
EV,LGA
UA,EWR
B6,JFK
B6,JFK
AA,JFK
US,LGA
AA,JFK
MQ,LGA
MQ,LGA
B6,JFK
UA,EWR
EV,EWR
B6,LGA
UA,LGA
MQ,LGA
VX,JFK
AA,JFK
UA,EWR
9E,JFK
B6,JFK
DL,LGA
DL,JFK
US,LGA
EV,EWR
MQ,LGA
EV,LGA
AA,JFK
DL,EWR
MQ,JFK
US,LGA
B6,JFK
UA,LGA
UA,LGA
DL,JFK
UA,JFK
AA,LGA
US,LGA
AA,JFK
9E,JFK
B6,JFK
9E,JFK
B6,EWR
DL,LGA
EV,LGA
AA,LGA
EV,EWR
MQ,EWR
MQ,JFK
MQ,LGA
9E,JFK
EV,LGA
UA,EWR
UA,EWR
US,LGA
UA,LGA
UA,EWR
UA,EWR
EV,EWR
UA,EWR
DL,JFK
US,JFK
DL,LGA
9E,JFK
UA,EWR
US,LGA
DL,JFK
DL,LGA
UA,EWR
UA,JFK
AA,LGA
DL,LGA
EV,EWR
EV,LGA
AA,JFK
UA,EWR
EV,EWR
EV,EWR
AA,EWR
9E,JFK
DL,LGA
DL,LGA
DL,LGA
MQ,LGA
B6,JFK
WN,EWR
EV,EWR
US,JFK
MQ,LGA
EV,LGA
UA,EWR
EV,EWR
MQ,LGA
EV,EWR
DL,LGA
UA,LGA
B6,JFK
EV,EWR
UA,EWR
WN,LGA
DL,JFK
DL,JFK
EV,EWR
DL,JFK
WN,EWR
EV,EWR
AA,LGA
B6,JFK
EV,EWR
DL,LGA
EV,EWR
9E,JFK
AA,LGA
DL,LGA
US,LGA
AA,EWR
EV,EWR
DL,JFK
UA,LGA
UA,LGA
B6,JFK
UA,EWR
AA,JFK
UA,EWR
US,EWR
EV,EWR
FL,LGA
9E,JFK
9E,JFK
MQ,LGA
B6,JFK
US,LGA
UA,EWR
UA,EWR
MQ,JFK
DL,JFK
AA,LGA
EV,EWR
B6,JFK
AA,JFK
AA,LGA
AA,LGA
B6,JFK
EV,EWR
DL,LGA
DL,LGA
UA,EWR
AA,JFK
UA,EWR
DL,LGA
AA,JFK
B6,EWR
UA,EWR
DL,LGA
B6,JFK
B6,JFK
MQ,LGA
B6,JFK
B6,JFK
AA,EWR
UA,EWR
UA,EWR
EV,EWR
EV,EWR
EV,EWR
B6,EWR
DL,LGA
UA,EWR
MQ,LGA
WN,EWR
MQ,JFK
B6,JFK
EV,EWR
DL,JFK
AA,LGA
DL,JFK
UA,EWR
AA,LGA
UA,EWR
B6,JFK
FL,LGA
B6,JFK
DL,LGA
B6,JFK
DL,LGA
DL,JFK
MQ,LGA
AA,JFK
AA,JFK
B6,LGA
B6,JFK
9E,LGA
AA,JFK
B6,JFK
UA,EWR
WN,LGA
B6,JFK
UA,EWR
UA,EWR
EV,EWR
WN,EWR
DL,JFK
EV,EWR
EV,JFK
